171	49	fullColumnName#IDN	reduction
172	48	uid#IDN	reduction
173	/	IDN#IDN	move
174	50	dottedId#.	reduction
175	/	.#.	move
176	52	dottedIdOrStar#IDN	reduction
177	48	uid#IDN	reduction
178	/	IDN#IDN	move
179	73	predicateRight#=	reduction
180	85	comparisonOperator#=	reduction
181	/	=#=	move
182	72	predicate#STRING	reduction
183	75	expressionAtom#STRING	reduction
184	79	constant#STRING	reduction
185	97	stringLiteral#STRING	reduction
186	/	STRING#STRING	move
187	74	predicateRight#	reduction
188	61	expressionRight#	reduction
189	25	orderByClause#	reduction
190	8	unionStatements#	reduction
191	/	#	accept
